name,player,inverted,pick
Henrik Stenson,Tom,FALSE,11
Tommy Fleetwood,Dad,FALSE,18
Tiger Woods,Tom,FALSE,5
Rory McIlroy,Tom,FALSE,2
Tony Finau,Tom,FALSE,17
Adam Scott,Dad,FALSE,7
Rickie Fowler,Dad,FALSE,1
Sergio Garcia,Tom,TRUE,14
Kevin Na,Dad,TRUE,13
Kiradech Aphibarnrat,Will,TRUE,15
Francesco Molinari,Dad,FALSE,12
Bryson DeChambeau,Will,FALSE,16
Dustin Johnson,Will,FALSE,3
Justin Thomas,Will,FALSE,10
Justin Rose,Will,FALSE,4
Jordan Spieth,Will,FALSE,9
Brooks Koepka,Tom,FALSE,8
Jon Rahm,Dad,FALSE,6
