player 	name 	category
Dad 	Alex Bregman	active
Dad 	Andrew Benintendi	active
Dad 	Ketel Marte	active
Dad 	Carlos Santana	active
Dad 	Aaron Nola	active
Dad 	Mookie Betts	active
Dad 	Masahiro Tanaka	active
Dad 	Kyle Schwarber	active
Dad 	Carlos Martinez	active
Dad 	Corey Kluber	active
Dad 	Hank Aaron 	retired
Dad 	Gary Carter 	retired
Dad 	The Texas Rangers Mascot - Captain 	mascot
Dad 	Miguel Andujar	active
Dad 	Joey Lucchesi	active
Dad 	Dakota Hudson	active
Dad 	Dee Gordon	active
Dad 	Brandon Belt	active
Dad 	Evan Longoria	active
Dad 	Aledmys Diaz	active
Dad 	Billy Hamilton	active
Dad 	Jose Abreu	active
Dad 	Dansby Swanson	active
Tom 	David Price	active
Tom 	Christian Yelich	active
Tom 	Trevor Story	active
Tom 	Anthony Rendon	active
Tom 	Aaron Judge	active
Tom 	Christin Stewart	active
Tom 	Josh James	active
Tom 	Raisel Iglesias	active
Tom 	Daniel Palka	active
Tom 	Nicholas Castellanos	active
Tom 	Kyle Gibson	active
Tom 	Willy Adames	active
Tom 	Alex Gordon	active
Tom 	Adalberto Mondesi	active
Tom 	Matt Kemp	active
Tom 	Tommy Pham	active
Tom 	J.D. Martinez	active
Tom 	Frank Thomas 	retired
Tom 	Jesus Aguilar	active
Tom 	Opening Day Arizona Diamondbacks 	other
Tom 	Max Scherzer	active
Tom 	Tampa Bay Rays Mascot - Raymond 	mascot
Tom 	Blake Snell	active
Tom 	Freddie Freeman	active
Will 	Yadier Molina	active
Will 	Noah Syndergaard	active
Will 	Corey Seager	active
Will 	Maikel Franco	active
Will 	Derek Jeter 	retired
Will 	Jackie Robinson 	retired
Will 	Jose Leclerc	active
Will 	Xander Bogaerts	active
Will 	Jake Arrieta	active
Will 	Mike Foltynewicz	active
Will 	Corey Dickerson	active
Will 	Dereck Rodriguez	active
Will 	Carlos Rodon	active
Will 	Francisco Lindor	active
Will 	Eugenio Suarez	active
Will 	Shane Bieber	active
Will 	Jeff McNeil	active
Will 	James Paxton	active
Will 	Jorge Polanco	active
Will 	Justin Smoak	active
Will 	Jameson Taillon	active
Will 	Derek Dietrich	active
Will 	Zack Godley	active
Will 	Eutaw Street (Baltimore Orioles) 	other
