posteam,kicker_player_name,weeks,total_net_pky,median_net_pky,min_net_pky,max_net_pky,extra_point_make_perc,field_goal_make_perc
BAL,J.Tucker,10,1756,175,72,298,97%,95%
KC,H.Butker,11,1668,140,77,266,94%,86%
TB,M.Gay,10,1378,109,82,277,92%,87%
GB,M.Crosby,10,1369,153,54,190,100%,93%
DET,M.Prater,10,1362,138,-40,227,96%,89%
MIN,D.Bailey,10,1350,142.5,-31,222,94%,88%
ARI,Z.Gonzalez,11,1348,125,-25,193,95%,90%
DAL,B.Maher,10,1311,133.5,48,250,100%,73%
LA,G.Zuerlein,10,1277,129.5,7,234,100%,78%
NO,W.Lutz,10,1254,119,66,202,96%,84%
PIT,C.Boswell,10,1175,133,-11,197,100%,90%
PHI,J.Elliott,10,1081,107.5,70,160,91%,100%
SEA,J.Myers,10,1079,96,5,195,93%,74%
CAR,J.Slye,10,1078,114.5,-3,201,95%,74%
JAX,J.Lambo,10,1068,127.5,-13,198,93%,96%
OAK,D.Carlson,10,1004,113,15,158,96%,77%
SF,R.Gould,8,935,122,34,218,100%,65%
DEN,B.McManus,10,880,90.5,-45,165,93%,82%
CLE,A.Seibert,10,873,75,0,199,84%,89%
HOU,K.Fairbairn,10,853,81.5,-10,175,83%,72%
BUF,S.Hauschka,10,852,87.5,-86,238,95%,69%
CIN,R.Bullock,10,822,87.5,20,160,100%,82%
CHI,E.Pineiro,10,741,82.5,-62,178,94%,71%
IND,A.Vinatieri,10,714,70.5,-33,169,75%,75%
NYG,A.Rosas,10,631,63.5,-10,135,86%,78%
MIA,J.Sanders,9,616,72,-39,176,100%,69%
ATL,M.Bryant,7,563,99,-20,139,93%,64%
NYJ,S.Ficken,8,558,63,-55,166,94%,64%
WAS,D.Hopkins,10,536,32.5,-39,188,100%,75%
LAC,T.Long,4,513,141,-8,239,100%,78%
NE,M.Nugent,4,502,125.5,85,166,94%,63%
NE,S.Gostkowski,4,411,74.5,23,239,73%,88%
LAC,M.Badgley,3,396,126,102,168,100%,89%
ATL,Y.Koo,2,335,167.5,118,217,100%,88%
TEN,C.Santos,5,335,70,-134,222,100%,44%
LAC,C.McLaughlin,4,312,61.5,44,145,100%,67%
TEN,C.Parkey,2,270,135,78,192,83%,100%
SF,C.McLaughlin,2,257,128.5,115,142,100%,80%
NE,N.Folk,2,203,101.5,96,107,100%,100%
TEN,R.Succop,2,-11,-5.5,-77,66,83%,0%
NYJ,K.Vedvik,1,-78,-78,-78,-78,0%,0%
